"id","year","state_name","state_code","type_residence","total_hh","male_weavers","male_allied_weavers","female_weavers","female_allied_weavers","transg_weaver","transg_allied_weaver","hh_antodaya_card","hh_no_anotadaya_card","kacha_house","semi_pucca_house","pucca_house","own_residency","rent_residency","other_residency","income_less_5000","income_btw_5001_and_10000","income_btw_10001_15000","income_btw_15001_20000","income_btw_20001_25000","income_btw_25001_50000","income_btw_50000_100000","income_above_100000","income_less_5000_hl_related","income_btw_5001_10000_hl_related","income_btw_10001_15000_hl_related","income_btw_15001_20000_hl_related","income_btw_20001_25000_hl_related","income_btw_25001_50000_hl_related","income_btw_50001_100000_hl_related","income_above_100000_hl_related","debt_due_to_hl","debt_due_to_other_purposes","debt_due_to_hl_and_other_purposes","loan_from_cooperative_societies","loan_from_commercial_banks","loan_from_friends_or_relatives","loan_from_govt","loan_from_master_weaver","loan_from_money_lender","loan_from_other_sources","loan_from_shg","avg_hh_size","yarn_cotton_1_20","yarn_cotton_21_40","yarn_cotton_41_80","yarn_cotton_above_80","yarn_viscose_blends","yarn_muga_silk","yarn_eric_silk","yarn_mulberry_silk","yarn_tussar_silk","yarn_linen","yarn_wool","yarn_acrylic_wool","yarn_polyester_blends","yarn_jute","yarn_zari","other_yarns ","input_hank_yarn_open_market","input_hank_yarn_master_weavers_group","input_hank_yarn_cooperative_society","input_hank_yarn_national_handloom_development_corp","input_hank_yarn_khadi_village_industries_commission_or_board","input_other_types_of_hank_yarn","source_dyes_chemicals_open_market","source_dyes_chemicals_master_weavers_group","source_dyes_chemicals_cooperative_society","source_dyes_chemicals_national_handloom_development_corp","source_dyes_chemicals_khadi_village_industries_commission","source_dyes_chemicals_other_types","input_dyed_yarn_open_market","input_dyed_yarn_master_weavers_group","input_dyed_yarn_cooperative_society","input_dyed_yarn_national_or_state_handloom_development_corp","input_dyed_yarn_khadi_village_industries_commission","input_dyed_yarn_other_types_of_dyed_yarn","using_azo_free_dye","using_natural_dye","using_other_type_of_dye","using_dye_of_any_type","sales_local_market","sales_master_weaver_group","sales_cooperative_society","sales_organized_fairs_or_exhibition","sales_export","sales_ecommerce","sales_other_sources","members_cooperative_society","members_shg_or_joint_liability_group","hl_hh_members_of_producer_company"
0,"2019-20","Andaman and Nicobar Islands",35,"Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"2019-20","Andaman and Nicobar Islands",35,"Urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"2019-20","Andhra Pradesh",28,"Rural",77065.0,46779.0,9086.0,31199.0,22712.0,0.0,0.0,4229.0,72836.0,14555.0,50082.0,12428.0,60889.0,15926.0,250.0,49924.0,18732.0,3330.0,1327.0,612.0,3096.0,35.0,9.0,55735.0,16854.0,1422.0,343.0,341.0,2365.0,5.0,0.0,2063.0,2185.0,131.0,405.0,483.0,147.0,799.0,178.0,69.0,10.0,103.0,3.0,3615.0,5734.0,22686.0,9270.0,528.0,1055.0,4255.0,19764.0,99.0,32.0,267.0,8.0,354.0,136.0,12513.0,1402.0,12976.0,22064.0,17705.0,1254.0,262.0,201.0,8115.0,9475.0,1263.0,2781.0,15.0,55.0,6930.0,5141.0,2462.0,39.0,11.0,1090.0,1671.0,65455.0,7371.0,4707.0,20452.0,36622.0,21122.0,383.0,1395.0,54.0,2676.0,21622.0,17656.0,7269.0
3,"2019-20","Andhra Pradesh",28,"Urban",45579.0,30033.0,5132.0,19633.0,12854.0,18.0,1.0,2126.0,43453.0,13550.0,30201.0,1828.0,28791.0,16658.0,130.0,19058.0,11515.0,4247.0,1662.0,1993.0,6970.0,125.0,9.0,26166.0,16492.0,801.0,281.0,1262.0,553.0,21.0,3.0,1464.0,919.0,44.0,132.0,282.0,39.0,389.0,347.0,162.0,2.0,155.0,3.0,708.0,1797.0,7608.0,4334.0,760.0,987.0,5137.0,22803.0,323.0,160.0,123.0,62.0,136.0,83.0,21131.0,185.0,4075.0,10565.0,2377.0,267.0,87.0,58.0,10101.0,18051.0,330.0,19.0,14.0,237.0,2869.0,2068.0,1395.0,49.0,7.0,61.0,1060.0,43409.0,1166.0,351.0,12342.0,29811.0,4153.0,224.0,382.0,12.0,489.0,7107.0,5459.0,2246.0
4,"2019-20","Arunachal Pradesh",12,"Rural",84014.0,10885.0,8184.0,60335.0,5778.0,6.0,1.0,28186.0,55828.0,56191.0,16401.0,11422.0,81318.0,2315.0,381.0,69260.0,12661.0,1495.0,530.0,42.0,16.0,6.0,4.0,75924.0,7279.0,727.0,64.0,11.0,8.0,0.0,1.0,76.0,98.0,3.0,0.0,1.0,3.0,62.0,8.0,2.0,2.0,1.0,4.0,14264.0,9029.0,40899.0,783.0,95.0,162.0,398.0,17.0,1.0,124.0,19475.0,621.0,262.0,172.0,439.0,1192.0,54774.0,272.0,15.0,17.0,9.0,8495.0,3568.0,17.0,3.0,0.0,2.0,2098.0,23847.0,37.0,4.0,3.0,2.0,2872.0,8473.0,63032.0,749.0,12124.0,73523.0,275.0,6.0,11.0,12.0,19.0,10451.0,4922.0,7025.0,1276.0
5,"2019-20","Arunachal Pradesh",12,"Urban",9300.0,353.0,1295.0,6001.0,1757.0,20.0,1.0,729.0,8571.0,5618.0,1533.0,2149.0,5977.0,3153.0,170.0,8293.0,690.0,209.0,63.0,26.0,16.0,2.0,1.0,8520.0,715.0,57.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,3020.0,223.0,4818.0,8.0,3.0,64.0,13.0,27.0,6.0,6.0,3783.0,7.0,32.0,1.0,5.0,25.0,8917.0,28.0,2.0,0.0,1.0,13.0,492.0,1.0,0.0,0.0,0.0,2.0,3237.0,2.0,0.0,0.0,0.0,15.0,2228.0,2878.0,52.0,4184.0,9272.0,8.0,1.0,1.0,3.0,3.0,31.0,74.0,46.0,40.0
6,"2019-20","Assam",18,"Rural",1252188.0,75136.0,27592.0,1021349.0,142165.0,120.0,161.0,445724.0,806464.0,906168.0,161519.0,184501.0,1234474.0,10009.0,7705.0,873636.0,282348.0,63290.0,15083.0,9513.0,5928.0,2013.0,377.0,1107105.0,122667.0,16011.0,2979.0,1781.0,1493.0,64.0,88.0,2194.0,29513.0,365.0,49.0,455.0,27.0,1236.0,24.0,33.0,136.0,599.0,4.0,709423.0,276550.0,265577.0,119663.0,7293.0,54003.0,43155.0,5357.0,7241.0,44468.0,139480.0,17630.0,62349.0,1867.0,2788.0,82500.0,1107552.0,11892.0,3023.0,2071.0,594.0,77314.0,93563.0,3062.0,1443.0,1049.0,651.0,11765.0,116471.0,2856.0,513.0,461.0,446.0,11429.0,149290.0,490379.0,83455.0,551641.0,1162579.0,14017.0,2925.0,15347.0,2308.0,945.0,137197.0,53984.0,163942.0,32367.0
7,"2019-20","Assam",18,"Urban",17318.0,451.0,910.0,10368.0,5625.0,4.0,0.0,5193.0,12125.0,9490.0,5048.0,2780.0,16654.0,428.0,236.0,12377.0,3843.0,684.0,265.0,87.0,48.0,12.0,2.0,15278.0,1774.0,224.0,35.0,4.0,3.0,0.0,0.0,38.0,326.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,24.0,4.0,7335.0,4928.0,4129.0,1372.0,143.0,505.0,530.0,44.0,116.0,248.0,1263.0,125.0,389.0,19.0,58.0,341.0,15350.0,224.0,59.0,14.0,2.0,655.0,2048.0,72.0,41.0,12.0,4.0,40.0,1685.0,92.0,31.0,9.0,2.0,218.0,5301.0,7016.0,753.0,4395.0,16298.0,106.0,18.0,10.0,46.0,57.0,1509.0,825.0,1558.0,400.0
8,"2019-20","Bihar",10,"Rural",4716.0,3707.0,765.0,1374.0,3184.0,0.0,11.0,851.0,3865.0,2229.0,700.0,1787.0,4665.0,32.0,19.0,1672.0,2914.0,121.0,1.0,1.0,3.0,4.0,0.0,4128.0,529.0,51.0,0.0,1.0,3.0,4.0,0.0,35.0,23.0,26.0,3.0,2.0,3.0,11.0,0.0,42.0,0.0,0.0,4.0,1753.0,1414.0,834.0,258.0,103.0,1443.0,1508.0,1591.0,1557.0,109.0,274.0,36.0,6.0,20.0,3.0,5.0,2015.0,2698.0,115.0,6.0,1.0,9.0,561.0,155.0,11.0,1.0,0.0,6.0,559.0,1241.0,18.0,0.0,4.0,9.0,2672.0,2562.0,413.0,164.0,2198.0,3471.0,188.0,91.0,6.0,2.0,21.0,1099.0,230.0,149.0
9,"2019-20","Bihar",10,"Urban",1949.0,1498.0,420.0,637.0,1249.0,0.0,2.0,511.0,1438.0,906.0,401.0,642.0,1916.0,33.0,0.0,888.0,960.0,82.0,8.0,3.0,1.0,6.0,1.0,1684.0,198.0,58.0,4.0,0.0,0.0,5.0,0.0,64.0,3.0,1.0,3.0,36.0,0.0,10.0,15.0,0.0,1.0,0.0,4.0,511.0,457.0,280.0,173.0,27.0,711.0,706.0,678.0,637.0,131.0,71.0,0.0,1.0,1.0,3.0,2.0,870.0,1004.0,45.0,1.0,2.0,48.0,485.0,40.0,0.0,0.0,0.0,1.0,230.0,242.0,11.0,1.0,0.0,1.0,1031.0,1181.0,171.0,14.0,1036.0,1242.0,65.0,50.0,0.0,0.0,54.0,391.0,74.0,18.0
